year,month,day,races_id,venue,track,distance,going,class
2011,9,11,1,沙田,草地 - A 賽道,1200,好地,第五班
2011,9,11,2,沙田,草地 - A 賽道,1400,好地,第五班
2011,9,11,3,沙田,草地 - A 賽道,1200,好地,第一班
2011,9,11,4,沙田,草地 - A 賽道,1600,好地,第四班
2011,9,11,5,沙田,草地 - A 賽道,1200,好地,第四班
2011,9,11,6,沙田,草地 - A 賽道,1400,好地,第四班
2011,9,11,7,沙田,草地 - A 賽道,1400,好地,第二班
2011,9,11,8,沙田,草地 - A 賽道,1000,好地,第二班
2011,9,11,9,沙田,草地 - A 賽道,1200,好地,第三班
2011,9,11,10,沙田,草地 - A 賽道,1400,好地,第三班
2011,9,14,11,跑馬地,草地 - A 賽道,1200,好地,第五班
2011,9,14,12,跑馬地,草地 - A 賽道,1650,好地,第五班
2011,9,14,13,跑馬地,草地 - A 賽道,1000,好地,第四班
2011,9,14,14,跑馬地,草地 - A 賽道,1200,好地,第四班
2011,9,14,15,跑馬地,草地 - A 賽道,1650,好地,第四班
2011,9,14,16,跑馬地,草地 - A 賽道,1000,好地,第三班
2011,9,14,17,跑馬地,草地 - A 賽道,1650,好地,第三班
2011,9,14,18,跑馬地,草地 - A 賽道,1200,好地,第二班
2011,9,18,19,沙田,草地 - A+3 賽道,1600,好地,第五班
2011,9,18,20,沙田,草地 - A+3 賽道,1200,好地,第四班
2011,9,18,21,沙田,草地 - A+3 賽道,1000,好地,第四班
2011,9,18,22,沙田,全天候跑道,1200,好地,第四班
2011,9,18,23,沙田,草地 - A+3 賽道,1400,好地,第四班
2011,9,18,24,沙田,草地 - A+3 賽道,1600,好地,第三班
2011,9,18,25,沙田,草地 - A+3 賽道,1400,好地,第一班
2011,9,18,26,沙田,草地 - A+3 賽道,1200,好地,第二班
2011,9,18,27,沙田,全天候跑道,1200,好地,第三班
2011,9,18,28,沙田,草地 - A+3 賽道,1200,好地,第三班
2011,9,21,29,跑馬地,草地 - B 賽道,1650,好地,第五班
2011,9,21,30,跑馬地,草地 - B 賽道,1650,好地,第四班
2011,9,21,31,跑馬地,草地 - B 賽道,1650,好地,第一班
2011,9,21,32,跑馬地,草地 - B 賽道,1000,好地,第三班
