year,month,day,races_id,result,horse_id,horse,age,jockey,trainer,horse_weight,actual_weight,draw,time,odd
2011,9,11,0,1,14,厲行星(L029),3,白德民,沈集成,119,1131,11,1:10.92,4.4
2011,9,11,0,2,6,龍船快(M144),2,蔡明紹,告東尼,127,1118,9,1:11.16,6.4
2011,9,11,0,3,4,上浦駿將(L020),3,潘頓,呂健威,132,1137,8,1:11.25,7.2
2011,9,11,0,4,5,快意(L271),3,郭立基,霍利時,130,1139,6,1:11.27,7.4
2011,9,11,0,5,11,你好我好(K086),4,梁家俊,梁定華,121,1116,7,1:11.43,11
2011,9,11,0,6,12,金莊(K394),4,都爾,苗禮德,121,1045,4,1:11.55,14
2011,9,11,0,7,9,嘻哈大少(L208),3,杜利萊,文家良,125,1025,12,1:11.57,10
2011,9,11,0,8,3,開心好多(K284),4,韋達,李易達,133,1113,14,1:11.70,15
2011,9,11,0,9,10,叻先生(M065),2,鄭雨滇,何良,123,1008,5,1:11.73,12
2011,9,11,0,10,7,一般高(L064),3,吳嘉晉,葉楚航,118,1138,13,1:11.87,65
2011,9,11,0,11,13,好小子(K080),4,普萊西,告達理,121,1235,3,1:11.89,11
2011,9,11,0,12,1,航天之星(L339),3,楊明綸,姚本輝,128,1037,2,1:12.65,99
2011,9,11,0,13,2,金勝福星(M016),2,賴維銘,吳定強,131,1008,10,1:13.46,26
2011,9,11,0,14,8,民和國富(M133),2,湯智傑,徐雨石,124,1113,1,1:14.07,83
2022,04,06,1,-1,1,天火同人(E175),4,田泰安,韋達,133,1078,4,time,6.2
2022,04,06,1,-1,2,飛凡(E271),4,潘頓,蔡約翰,131,1099,3,time,3.8
2022,04,06,1,-1,3,閃耀榮光(B372),7,班德禮,容天鵬,129,1243,5,time,21
2022,04,06,1,-1,4,狀元及第(E392),3,莫雷拉,告東尼,128,1184,7,time,2.2
2022,04,06,1,-1,5,風流人物(D498),5,波健士,大衛希斯,118,1196,6,time,10
2022,04,06,1,-1,6,大紅袍(E445),4,潘明輝,羅富全,118,1160,1,time,6.9
2022,04,06,1,-1,7,自力更生(G209),4,何澤堯,呂健威,118,996,2,time,17
2022,04,06,2,-1,1,齊喜(G077),4,薛恩,高伯新,133,1066,9,time,33
2022,04,06,2,-1,2,自然力量(C461),5,莫雷拉,姚本輝,129,1118,1,time,3.2
2022,04,06,2,-1,3,香港精神(D241),4,馬雅,苗禮德,124,1009,8,time,5.0
2022,04,06,2,-1,4,勁力威龍(C437),5,何澤堯,文家良,121,1114,3,time,10
2022,04,06,2,-1,5,活力得勝(C091),6,賀銘年,蘇保羅,121,1123,5,time,14
2022,04,06,2,-1,6,勝利波幅(D499),5,潘頓,呂健威,120,1015,2,time,7.1
2022,04,06,2,-1,7,電訊犇豹(D405),5,班德禮,葉楚航,116,1154,6,time,27
2022,04,06,2,-1,8,奇妙年華(G001),4,田泰安,韋達,113,1195,10,time,4.7
2022,04,06,2,-1,9,雲彩飛揚(E122),5,波健士,葉楚航,113,992,4,time,25
2022,04,06,2,-1,10,賞心星(C251),6,巴度,方嘉柏,113,1200,7,time,13
2022,04,06,3,-1,1,荷花福星(C311),5,梁家俊,蘇保羅,133,1130,9,time,19
2022,04,06,3,-1,2,天衣無縫(C261),7,巴度,文家良,131,1135,12,time,15
